date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:25	114473/114473	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4500-1bf29%22	https://templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:27	137035/137035	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4500-2174b%22	https://templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-3.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-3.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:28	52504/52504	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4500-cd18%22	https://templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-4.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/politics-news/politics-news-4.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:30	66791/66791	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e3-104e7%22	https://templates.envytheme.com/depan/rtl/assets/img/business-news/business-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/business-news/business-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:32	41336/41336	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e4-a178%22	https://templates.envytheme.com/depan/rtl/assets/img/business-news/business-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/business-news/business-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:33	47003/47003	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4504-b79b%22	https://templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:35	53317/53317	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4504-d045%22	https://templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:36	37736/37736	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4505-9368%22	https://templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-3.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/sports-news/sports-news-3.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:38	48778/48778	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4508-be8a%22	https://templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:40	90086/90086	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4509-15fe6%22	https://templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:41	46132/46132	---M--	200	added ('OK')	image/jpeg	etag:%225ffc4509-b434%22	https://templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-3.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/tech-news/tech-news-3.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:43	208687/208687	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e6-32f2f%22	https://templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:45	70097/70097	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e8-111d1%22	https://templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:47	235131/235131	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e9-3967b%22	https://templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-3.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-3.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:48	41060/41060	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44eb-a06c%22	https://templates.envytheme.com/depan/rtl/assets/img/health-news/health-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/health-news/health-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:48	56462/56462	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44eb-dc96%22	https://templates.envytheme.com/depan/rtl/assets/img/health-news/health-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/health-news/health-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:49	232818/232818	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e9-38d72%22	https://templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-4.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/culture-news/culture-news-4.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:50	39581/39581	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44ea-9a9d%22	https://templates.envytheme.com/depan/rtl/assets/img/featured-reports/featured-reports-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/featured-reports/featured-reports-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:52	66268/66268	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44f5-102dc%22	https://templates.envytheme.com/depan/rtl/assets/img/most-shared/most-shared-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/most-shared/most-shared-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
